Estación,Mes,Año,Precip.,T. máx. abs.,T. mín. abs.,T. media de medias
ALBARRACÍN,8,2018,124.4,35.4,9.9,21.7
ALBARRACÍN,10,2018,146.4,24.7,-2.3,10.9
ALBARRACÍN,5,2018,106.4,24.2,-1.1,12.4
ALBARRACÍN,6,2018,39.4,31.9,5.9,17
ALBARRACÍN,3,2018,66,19.6,-4.1,5.5
ALBARRACÍN,7,2018,16.4,34,10.4,21.5
ALBARRACÍN,11,2018,36,17.7,-2.4,7.1
ALBARRACÍN,4,2018,46.8,24.4,-2.7,9.6
ALBARRACÍN,2,2018,19.2,19,-4.2,6.1
ALBARRACÍN,9,2018,64.8,30.1,7,18.1
ALBARRACÍN,1,2018,15.6,18.9,-6.1,4.7
ALBARRACÍN,12,2018,8.6,21,-4.8,6.1
ALCAÑIZ,2,2018,23.8,18.8,-1.8,8.6
ALCAÑIZ,7,2018,9,37.2,15.1,25.7
ALCAÑIZ,10,2018,101,27.9,0.5,14.6
ALCAÑIZ,5,2018,55.6,28.3,2.4,16.5
ALCAÑIZ,3,2018,27.2,25,0,9.8
ALCAÑIZ,6,2018,21.2,34.6,10.4,21.4
ALCAÑIZ,4,2018,83.4,26.8,1.9,13.2
ALCAÑIZ,11,2018,46.2,21,-0.9,10.1
ALCAÑIZ,8,2018,24.6,38,12.6,24.9
ALCAÑIZ,12,2018,13.2,17.6,-3.3,7.5
ALCAÑIZ,1,2018,41.8,20.2,-1.7,8.1
ALCAÑIZ,9,2018,44,33.2,8.8,21.8
ALHAMA DE ARAGÓN,8,2018,9.6,40.3,9.9,24.8
ALHAMA DE ARAGÓN,10,2018,79.4,28.4,-1,13.3
ALHAMA DE ARAGÓN,3,2018,59.2,23.2,-1.2,8.3
ALHAMA DE ARAGÓN,6,2018,57,35.5,8.6,19.8
ALHAMA DE ARAGÓN,5,2018,84.8,27.2,-0.2,15.6
ALHAMA DE ARAGÓN,11,2018,44.2,19.5,-2.8,9.2
ALHAMA DE ARAGÓN,7,2018,18.2,38.3,12.1,24.3
ALHAMA DE ARAGÓN,4,2018,69.4,26.4,-0.6,12.1
ALHAMA DE ARAGÓN,12,2018,12.4,19.9,-6.2,6.8
ALHAMA DE ARAGÓN,1,2018,34.4,16.4,-5.8,6.3
ALHAMA DE ARAGÓN,2,2018,29.6,22,-3.2,7.8
ALHAMA DE ARAGÓN,9,2018,31,36.6,5.8,21.4
ALMUDÉVAR,11,2018,30.2,19.7,-1.4,10
ALMUDÉVAR,3,2018,58.8,20.7,-0.1,8.5
ALMUDÉVAR,5,2018,67.8,25.8,1.2,16.1
ALMUDÉVAR,6,2018,39.8,33.8,11.2,20.9
ALMUDÉVAR,4,2018,169.2,25.4,1.2,12.4
ALMUDÉVAR,10,2018,66,27.5,1.7,15.3
ALMUDÉVAR,8,2018,35,37.5,12,24.1
ALMUDÉVAR,7,2018,14.6,35.8,14.3,24.7
ALMUDÉVAR,2,2018,46,17.5,-1,8.3
ALMUDÉVAR,12,2018,19.4,18,-2.8,7.3
ALMUDÉVAR,1,2018,59.4,18.8,-4.3,7.3
ALMUDÉVAR,9,2018,18.6,33.1,7.7,21.8
ANDORRA,1,2018,45.8,17.4,-1.5,7.4
ANDORRA,2,2018,19.6,17.1,0.7,8.1
ANDORRA,6,2018,33.4,31,9.9,19.5
ANDORRA,5,2018,111.6,25,3.2,14.8
ANDORRA,10,2018,111.6,26.1,0.3,13.5
ANDORRA,3,2018,14,23.6,-1.8,8.7
ANDORRA,7,2018,42.4,33.7,13.3,23.7
ANDORRA,8,2018,10.2,34.6,10.9,23.2
ANDORRA,11,2018,35.4,18.4,2.6,9.5
ANDORRA,4,2018,60.4,23.1,-0.1,12.3
ANDORRA,9,2018,8.6,29.9,9.8,20.4
ANDORRA,12,2018,11.8,17.7,-1.5,8.6
ARAGÜÉS DEL PUERTO,6,2018,154,29.3,7.4,17.3
ARAGÜÉS DEL PUERTO,5,2018,98.4,23.2,-0.5,12.4
ARAGÜÉS DEL PUERTO,3,2018,211.2,16.6,-4,4.8
ARAGÜÉS DEL PUERTO,11,2018,93,17.5,-0.1,7.8
ARAGÜÉS DEL PUERTO,10,2018,75.6,25.4,-1.9,12.9
ARAGÜÉS DEL PUERTO,7,2018,23,32.9,9.5,21.5
ARAGÜÉS DEL PUERTO,8,2018,21,34.8,7.6,21.5
ARAGÜÉS DEL PUERTO,1,2018,95.2,16.8,-3,5.7
ARAGÜÉS DEL PUERTO,4,2018,156,25.4,-1.8,10.5
ARAGÜÉS DEL PUERTO,2,2018,130.2,19,-4.4,6.9
ARAGÜÉS DEL PUERTO,9,2018,41.2,29.3,6.9,19.3
ARAGÜÉS DEL PUERTO,12,2018,30,18.7,0.1,7.9
ARANDA DE MONCAYO,6,2018,30.7,30.8,9.8,18.3
ARANDA DE MONCAYO,5,2018,94.1,24.2,0.7,13.9
ARANDA DE MONCAYO,3,2018,45,20.3,-1.4,6.9
ARANDA DE MONCAYO,10,2018,51.3,26.8,0.1,12
ARANDA DE MONCAYO,11,2018,43.9,17.2,2.4,9.4
ARANDA DE MONCAYO,7,2018,44,34.7,11.4,22.3
ARANDA DE MONCAYO,4,2018,79.9,22.8,1.6,11
ARANDA DE MONCAYO,8,2018,16.7,31.9,12.4,22
ARANDA DE MONCAYO,1,2018,26.7,16.3,-1.6,6.2
ARANDA DE MONCAYO,2,2018,56.5,16.6,-2.2,7.1
ARANDA DE MONCAYO,12,2018,4.5,19.3,0.9,8.1
ARANDA DE MONCAYO,9,2018,12.4,32.3,5.1,19.5
AÍNSA-SOBRARBE,11,2018,96.6,20.2,-0.7,9.1
AÍNSA-SOBRARBE,5,2018,112.4,25.9,1.4,15.7
AÍNSA-SOBRARBE,6,2018,122.2,31.8,9.4,19.8
AÍNSA-SOBRARBE,3,2018,149.8,21.7,-2,7.5
AÍNSA-SOBRARBE,10,2018,165,28.7,-1.5,14.1
AÍNSA-SOBRARBE,8,2018,40.2,37.8,10.9,23.6
AÍNSA-SOBRARBE,7,2018,20.2,34.8,13.2,23.6
AÍNSA-SOBRARBE,4,2018,182.8,27.5,-1.9,12
AÍNSA-SOBRARBE,2,2018,102.4,19.3,-1.9,7.5
AÍNSA-SOBRARBE,12,2018,18.8,17.4,-3.8,5.8
AÍNSA-SOBRARBE,1,2018,58.6,20.1,-3.2,6.4
AÍNSA-SOBRARBE,9,2018,46.4,31.3,9.9,21
BAILO,10,2018,65.8,27.6,-0.4,13.3
BAILO,6,2018,63.6,30.7,8.8,18.6
BAILO,5,2018,84.4,24.3,-0.6,13.8
BAILO,3,2018,129.2,18.4,-1.3,6.4
BAILO,7,2018,16.4,34.6,11.3,22.6
BAILO,11,2018,59.2,17.4,-1,8.6
BAILO,8,2018,2.8,36.1,8.9,22.6
BAILO,4,2018,173.4,25.5,-0.5,11.5
BAILO,2,2018,78.8,19.4,-1.8,7.4
BAILO,9,2018,26.4,31.1,6.8,20.1
BAILO,12,2018,21,16.4,-3.1,6.9
BAILO,1,2018,70,16.8,-4,6.2
BALLOBAR,6,2018,17.4,36.3,122,22.9
BALLOBAR,1,2018,22,21,-2.9,8.3
BALLOBAR,11,2018,37.4,20.1,0,10.5
BALLOBAR,5,2018,35.8,29.2,4.6,18
BALLOBAR,4,2018,92,28.7,2.1,14.1
BALLOBAR,10,2018,86,28.1,1.5,15.8
BALLOBAR,3,2018,24.8,24.5,0.1,10.4
BALLOBAR,8,2018,38.6,38.6,13.1,25.9
BALLOBAR,7,2018,18,36.9,16.1,26.5
BALLOBAR,2,2018,35.4,18.6,0.4,9.3
BALLOBAR,12,2018,11.2,17.8,-1.1,7.6
BALLOBAR,9,2018,57.4,34.6,9.1,22.9
BARBASTRO,2,2018,58.1,19.5,-2.1,8.6
BARBASTRO,10,2018,98.8,29.4,-0.6,13
BARBASTRO,3,2018,60.7,13.4,-4.3,8.9
BARBASTRO,5,2018,142.6,28.3,1.6,17.1
BARBASTRO,6,2018,28.4,35.8,9.9,22
BARBASTRO,4,2018,117,28.7,-0.9,13.4
BARBASTRO,12,2018,13.8,19.2,-1.4,6.4
BARBASTRO,8,2018,101.9,38.4,11,25.2
BARBASTRO,11,2018,78.8,21.6,-0.3,10.5
BARBASTRO,7,2018,13,36.6,12.9,25.6
BARBASTRO,1,2018,31.2,21.3,-3.6,7.2
BARBASTRO,9,2018,35.4,34.2,7.4,22.2
BELCHITE,11,2018,37.1,20.8,-1.4,9.6
BELCHITE,12,2018,10,18.8,-5.9,7
BELCHITE,5,2018,43.1,29.2,2.9,16.8
BELCHITE,6,2018,30.8,36.1,11.2,21.7
BELCHITE,10,2018,59.2,29.5,-1,14.6
BELCHITE,3,2018,22.4,25.5,0,9.4
BELCHITE,4,2018,86.7,27.6,-0.1,13
BELCHITE,8,2018,37.8,39.3,14.1,24.7
BELCHITE,2,2018,18.4,19.7,-1.8,8.2
BELCHITE,7,2018,20.5,37.1,14.6,25.7
BELCHITE,1,2018,35.9,19.7,-1.9,7.9
BELCHITE,9,2018,2.8,34.5,9.3,21.9
BELLO,5,2018,56.7,23.7,-1.9,11.7
BELLO,6,2018,9.9,32.3,5.9,17
BELLO,10,2018,119.2,25.4,-2.2,11.2
BELLO,3,2018,40.8,19.2,-3.9,5.8
BELLO,11,2018,29.6,16.5,-3.8,7.2
BELLO,4,2018,73.2,23.7,-1.2,9.8
BELLO,8,2018,36.2,35.8,8.3,20.8
BELLO,7,2018,12.2,34,8.4,21.4
BELLO,1,2018,20.4,17.6,-6.7,4.1
BELLO,2,2018,19,18,-5.8,5.7
BELLO,12,2018,13.8,19,-6.4,5.4
BELLO,9,2018,2.8,30.3,5,18.6
BENABARRE,2,2018,62.8,18.5,-2.7,7.3
BENABARRE,6,2018,33,30.7,9.7,19.1
BENABARRE,10,2018,155.4,24.3,-1.7,13
BENABARRE,5,2018,139.6,25.3,0.6,14.3
BENABARRE,3,2018,82,18.5,-3.7,6.3
BENABARRE,7,2018,11.6,32.8,12.6,22.9
BENABARRE,4,2018,122.8,26.1,-0.9,11.2
BENABARRE,8,2018,88.2,34.6,10.2,22.5
BENABARRE,11,2018,82.6,18.6,-0.3,8.2
BENABARRE,12,2018,14,15.8,-2.7,6
BENABARRE,1,2018,48.6,17.5,-3.1,5.9
BENABARRE,9,2018,37,29,8.2,19.8
BIELSA,10,2018,141,24.6,-2.8,12.2
BIELSA,7,2018,102.8,31.6,9.5,20.4
BIELSA,11,2018,95.6,16.6,-1.8,6.3
BIELSA,6,2018,170.2,30.4,7,17
BIELSA,5,2018,104.8,24.2,-1.2,12.8
BIELSA,3,2018,274.2,19.9,-3.7,4.5
BIELSA,8,2018,71,34.4,7.6,20
BIELSA,4,2018,223.6,26.6,-2.8,9.8
BIELSA,2,2018,157,20.4,-3.3,6.3
BIELSA,1,2018,74,16.6,-4.4,4.6
BIELSA,9,2018,79.8,29.5,7,18.1
BIELSA,12,2018,19,18,-2,6.3
BIESCAS,11,2018,122.8,16.7,-2.4,5.8
BIESCAS,10,2018,139.4,24,-3.5,10.7
BIESCAS,5,2018,98.8,22,-2.2,11.7
BIESCAS,6,2018,200.8,27.9,6.5,15.7
BIESCAS,3,2018,195,16.3,-3.9,3.6
BIESCAS,7,2018,61.2,29.4,9.1,19.1
BIESCAS,8,2018,94.6,32.2,6.7,18.9
BIESCAS,4,2018,206.2,23.6,-4,8.6
BIESCAS,1,2018,100.8,15.3,-6.6,3.9
BIESCAS,2,2018,213.4,17,-5.6,4.8
BIESCAS,9,2018,95,27.4,5.3,16.7
BIESCAS,12,2018,32.4,17.3,-2.6,5.6
BOQUIÑENI,7,2018,1.6,37.9,15.2,25.5
BOQUIÑENI,9,2018,8.2,34.8,10.1,22
BOQUIÑENI,1,2018,48.5,19.6,-3,7
BOQUIÑENI,6,2018,11.8,36.6,11.4,21.6
BOQUIÑENI,5,2018,51.4,28.7,2,16.5
BOQUIÑENI,11,2018,37,21.3,-0.8,10
BOQUIÑENI,3,2018,41.7,20.5,-0.3,9.5
BOQUIÑENI,10,2018,38.9,29.2,-0.6,15.1
BOQUIÑENI,4,2018,131.8,26,0.1,13.3
BOQUIÑENI,12,2018,15.9,16.8,-4.5,5.6
BOQUIÑENI,8,2018,2.3,39.4,13.7,24.9
BOQUIÑENI,2,2018,28.2,19.2,-2.2,7.9
BORJA,4,2018,169.4,24.5,0.7,12.5
BORJA,5,2018,55.4,25.9,0.9,15.8
BORJA,6,2018,55.2,34.5,10.9,20.6
BORJA,11,2018,37.4,21.2,-0.8,9.9
BORJA,3,2018,43.8,19.5,0.1,9
BORJA,10,2018,35.6,28.1,-0.6,14.8
BORJA,8,2018,22.4,37.8,13.3,24.2
BORJA,7,2018,7.8,37.1,13.9,24.7
BORJA,12,2018,15.2,17.8,-1.2,7.4
BORJA,2,2018,45.5,18.1,-0.4,8.7
BORJA,9,2018,14.4,33.1,10.5,21.4
BORJA,1,2018,57.1,19.8,-3.7,7.1
CALAMOCHA,8,2018,49,37.6,9.7,22.7
CALAMOCHA,2,2018,23,20.5,-4.4,7
CALAMOCHA,6,2018,58.2,33.3,6.8,18.4
CALAMOCHA,3,2018,36,21.6,-2.8,7.5
CALAMOCHA,10,2018,120.6,27.8,-1.2,12.3
CALAMOCHA,5,2018,85.2,27.1,-0.9,14
CALAMOCHA,11,2018,40.8,19,-2.9,8.3
CALAMOCHA,7,2018,9.2,36.6,10,23.1
CALAMOCHA,4,2018,97.8,26.2,-0.8,11.1
CALAMOCHA,12,2018,14.4,20.3,-5.8,6.1
CALAMOCHA,1,2018,19.4,18.8,-6.2,5.6
CALAMOCHA,9,2018,22.6,32.2,6.1,20
CALATAYUD,6,2018,20,34.1,9.2,20.2
CALATAYUD,9,2018,32.4,34.6,6.8,21.6
CALATAYUD,3,2018,48.2,23.4,-0.4,8.9
CALATAYUD,10,2018,50,29.5,-0.3,14
CALATAYUD,5,2018,67.6,26.6,1.9,15.8
CALATAYUD,11,2018,32.6,20.3,-1.6,9.8
CALATAYUD,4,2018,87.2,24.8,-0.1,12.5
CALATAYUD,7,2018,21.8,37.8,13.3,24.8
CALATAYUD,1,2018,17.6,16.8,-5,6.5
CALATAYUD,2,2018,18,20,-2.2,8
CALATAYUD,8,2018,30.4,39,11.2,24.5
CALATAYUD,12,2018,10.4,19.1,-4.7,7.2
CANDASNOS,5,2018,66.8,28.7,1.8,16.7
CANDASNOS,3,2018,31.1,23.9,-1.3,9.4
CANDASNOS,10,2018,152.5,27.8,-1.3,14.3
CANDASNOS,6,2018,23.3,36.3,10.7,21.4
CANDASNOS,11,2018,43,20.1,-1.2,9.4
CANDASNOS,7,2018,20.1,38.3,14.4,25
CANDASNOS,8,2018,9.4,38.5,12.5,24.2
CANDASNOS,12,2018,13.8,17.6,-2.3,6.1
CANDASNOS,4,2018,93.1,28.2,2,13.5
CANDASNOS,2,2018,30.8,17.7,-1.6,8.4
CANDASNOS,9,2018,6.2,35,6.8,21.6
CANDASNOS,1,2018,28,19.3,-5.3,7.5
CASPE,12,2018,10.6,17,-0.8,8
CASPE,10,2018,78,28.7,3.4,16.6
CASPE,3,2018,29.4,25.9,1.9,11.5
CASPE,6,2018,23.8,36.8,14.1,23.8
CASPE,11,2018,47.8,20.1,1.7,11.3
CASPE,5,2018,70.2,30.6,6.3,19
CASPE,4,2018,70.2,29.2,3.7,15.3
CASPE,8,2018,23.4,40.2,15.7,27
CASPE,7,2018,12.6,38.3,17.5,27.9
CASPE,2,2018,23.2,20.5,1.1,10.1
CASPE,9,2018,13.8,35.2,13.1,23.9
CASPE,1,2018,36.6,20.9,-2,9.3
CASTEJÓN DE VALDEJASA,5,2018,77,25.7,0.9,15
CASTEJÓN DE VALDEJASA,6,2018,9.8,32.9,8.9,19.9
CASTEJÓN DE VALDEJASA,3,2018,62.6,19.1,-0.6,8
CASTEJÓN DE VALDEJASA,10,2018,61,26.6,2.2,14.6
CASTEJÓN DE VALDEJASA,8,2018,16.4,36.9,10.6,23.5
CASTEJÓN DE VALDEJASA,4,2018,155.4,24.3,1.1,12.5
